Operating System,IP Address,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Android,71.238.34.51,1,1,1,0.00%,7,0:06:07,0.00%,0,$0.00 
Android,71.237.252.165,1,1,1,0.00%,3,0:04:43,0.00%,0,$0.00 
Android,71.229.200.144,1,1,1,0.00%,3,0:03:16,0.00%,0,$0.00 
Android,71.227.107.130,1,1,1,0.00%,14,0:16:17,0.00%,0,$0.00 
Windows,71.223.238.5,1,1,1,0.00%,6,0:08:44,0.00%,0,$0.00 
Android,71.219.167.44,1,1,1,0.00%,9,0:06:06,0.00%,0,$0.00 
Android,71.214.48.85,1,1,1,0.00%,37,0:30:55,0.00%,0,$0.00 
Windows,71.213.45.87,1,1,1,0.00%,26,0:24:37,0.00%,0,$0.00 
Android,71.213.194.156,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Windows,71.205.194.161,2,2,2,0.00%,4,0:03:03,0.00%,0,$0.00 
Android,71.192.14.0,1,1,1,0.00%,9,0:18:44,0.00%,0,$0.00 
Android,71.190.28.176,1,1,1,0.00%,2,0:00:43,0.00%,0,$0.00 
iOS,71.185.203.44,1,1,1,0.00%,4,0:01:20,0.00%,0,$0.00 
Macintosh,71.182.170.133,1,1,1,0.00%,17,0:14:30,0.00%,0,$0.00 
Android,71.166.44.98,1,1,1,0.00%,3,0:00:54,0.00%,0,$0.00 
Windows,71.16.198.34,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chrome OS,71.15.205.15,1,1,1,0.00%,2,0:00:18,0.00%,0,$0.00 
Windows,71.129.32.129,1,1,1,0.00%,11,0:08:04,0.00%,0,$0.00 
Android,71.12.154.101,1,1,1,0.00%,21,0:12:25,0.00%,0,$0.00 
Android,70.94.78.192,1,1,1,0.00%,6,0:10:32,0.00%,0,$0.00 
Android,70.94.244.118,1,1,1,0.00%,15,0:18:09,0.00%,0,$0.00 
Android,70.35.188.49,1,1,1,0.00%,2,0:02:10,0.00%,0,$0.00 
Android,70.235.130.102,1,1,1,0.00%,17,0:12:21,0.00%,0,$0.00 
Android,70.187.28.91,1,1,1,0.00%,18,0:13:02,0.00%,0,$0.00 
Windows,70.18.238.174,1,1,1,0.00%,14,0:04:21,0.00%,0,$0.00 
Android,70.175.75.192,1,1,1,0.00%,11,0:06:46,0.00%,0,$0.00 
Android,70.172.5.170,1,1,1,0.00%,5,0:05:12,0.00%,0,$0.00 
Android,70.170.52.38,1,1,1,0.00%,5,0:03:35,0.00%,0,$0.00 
iOS,70.162.20.98,1,1,1,0.00%,6,0:08:50,0.00%,0,$0.00 
Macintosh,70.162.176.142,1,1,1,0.00%,38,0:49:04,0.00%,0,$0.00 
iOS,70.127.1.212,1,1,1,0.00%,3,0:01:03,0.00%,0,$0.00 
Android,70.120.242.189,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,69.88.40.153,1,1,1,0.00%,4,0:06:12,0.00%,0,$0.00 
Android,69.79.192.80,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,69.68.68.154,1,1,1,0.00%,6,0:01:12,0.00%,0,$0.00 
Windows,69.26.12.100,1,1,1,0.00%,3,0:01:30,0.00%,0,$0.00 
Android,69.255.155.56,1,1,1,0.00%,2,0:01:43,0.00%,0,$0.00 
iOS,69.245.109.252,1,1,1,0.00%,2,0:01:36,0.00%,0,$0.00 
Android,69.244.221.2,1,1,1,0.00%,2,0:01:18,0.00%,0,$0.00 
Macintosh,69.204.253.160,1,1,2,50.00%,2,0:00:07,0.00%,0,$0.00 
Android,69.174.145.36,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Linux,69.171.251.18,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Linux,69.171.251.117,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Android,69.141.231.61,1,1,1,0.00%,7,0:03:36,0.00%,0,$0.00 
Android,69.140.84.145,1,1,1,0.00%,3,0:01:49,0.00%,0,$0.00 
Android,69.140.116.95,1,1,1,0.00%,8,0:07:52,0.00%,0,$0.00 
Macintosh,69.14.50.208,1,1,1,0.00%,5,0:04:52,0.00%,0,$0.00 
